plot,lon,lat,cec,clay,orgCarb,sand,silt,orgMat,tot,lab,org,occ,sec,apa
Goren.Bled_4258.51377,14.03488982,46.38857405,21.13,22.2,40.58,42.9,34.63,69.7976,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Goren.Bled_4260.51376,14.03793392,46.38808731,21.4,22.53,41.15,41.93,35.83,70.778,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Goren.Bled_4261.51375,14.03893919,46.38742554,22.25,22.78,37.78,41.7,35.33,64.9816,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Goren.Bled_4262.51375,14.04061867,46.38674309,22,23.73,40.98,40.25,35.75,70.4856,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Goren.Bled_4263.51341,14.04179898,46.35672982,20.6,21.23,33.13,43.1,35.63,56.9836,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Goren.Bled_4263.51374,14.04143124,46.38647172,23.3,22.95,37.93,42.48,34.58,65.2396,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Goren.Bled_4264.51373,14.04288048,46.38568708,23.23,22.33,36.1,40.25,37.65,62.092,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Goren.Bled_4264.51374,14.04274395,46.38582407,23.3,22.95,37.93,42.48,34.58,65.2396,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Goren.Bled_4266.51372,14.04500481,46.38403494,22.08,22.9,37.23,42.8,34.23,64.0356,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Goren.Bled_4267.51369,14.04657542,46.38207268,20.78,18.93,37.8,46.63,34.53,65.016,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Goren.Bled_4268.51342,14.04837431,46.35707461,24.35,26.03,31.1,38.98,35.2,53.492,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Goren.Bled_4268.51369,14.04841955,46.38134568,22.05,23.1,34.8,41.45,35.25,59.856,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Goren.Bled_4269.51368,14.04982589,46.38063811,22.35,22.45,37.35,41.65,35.65,64.242,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Goren.Bled_4275.51367,14.05683879,46.38008324,20.13,17.58,41.23,48.23,33.9,70.9156,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Goren.Bled_4278.51368,14.0605126,46.3806538,19.98,20,38.35,45.83,34.05,65.962,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
